time,成品钢材产量,原煤产量,原油加工量产量,火力发电产量
2011-5-1,7346.111,31876.52585,3755.700231,3211.311495
2011-6-1,7407.311,32157.6971,3748.523399,3258.626473
2011-7-1,7452.84,32229.78092,3735.514519,3281.780856
2011-8-1,7471.59,31995.82498,3719.711073,3281.281867
2011-9-1,7455.097,31487.92702,3709.879054,3259.569377
2011-10-1,7422.14,30800.55287,3712.477609,3233.044084
2011-11-1,7408.338,30124.77049,3727.730138,3212.108734
2011-12-1,7439.977,29652.88439,3748.828554,3202.105238
2012-1-1,7515.139,29499.33583,3769.224427,3199.500105
2012-2-1,7620.684,29651.23155,3782.390706,3198.745611
2012-3-1,7726.669,29967.16208,3783.659903,3192.984139
2012-4-1,7803.965,30301.19356,3779.008729,3173.260888
2012-5-1,7843.073,30531.08747,3776.560508,3140.101853
2012-6-1,7867.337,30642.88248,3786.241643,3106.944684
2012-7-1,7903.95,30674.78889,3815.675736,3087.614436
2012-8-1,7968.544,30643.62431,3866.751848,3088.198098
2012-9-1,8069.726,30540.21331,3928.383174,3110.943744
2012-10-1,8194.175,30338.44487,3986.031388,3147.649261
2012-11-1,8318.686,30085.17738,4027.527792,3190.183975
2012-12-1,8429.038,29845.39067,4043.815434,3232.727202
2013-1-1,8511.803,29698.13191,4033.039503,3265.287562
2013-2-1,8559.417,29676.08428,4005.646892,3286.888253
2013-3-1,8581.273,29709.83852,3980.389575,3308.094642
2013-4-1,8604.807,29757.96204,3967.202159,3341.432221
2013-5-1,8656.021,29772.64024,3970.136776,3391.675884
2013-6-1,8749.687,29765.0063,3985.724455,3454.52438
2013-7-1,8885.541,29861.65573,4001.171857,3521.797376
2013-8-1,9045.638,30215.77254,4008.300787,3578.960076
2013-9-1,9186.907,30834.66414,4004.290543,3615.934272
2013-10-1,9268.479,31624.9127,3994.325268,3628.14502
2013-11-1,9275.442,32354.90148,3985.66093,3618.546179
2013-12-1,9217.173,32756.92071,3987.164646,3593.441311
2014-1-1,9135.324,32668.86628,4003.952513,3567.390456
2014-2-1,9075.647,32108.92634,4032.921098,3549.790758
2014-3-1,9061.473,31282.52223,4065.559265,3535.876214
2014-4-1,9096.086,30401.77705,4098.847988,3517.843363
2014-5-1,9165.488,29684.93144,4134.547457,3493.522637
2014-6-1,9246.57,29280.38225,4168.406667,3461.213982
2014-7-1,9320.805,29322.92573,4197.022507,3431.760225
2014-8-1,9380.239,29762.26877,4217.43641,3416.179088
2014-9-1,9437.18,30489.88876,4228.907724,3417.390179
2014-10-1,9499.039,31376.60117,4231.730861,3433.356047
2014-11-1,9561.837,32333.17231,4228.119552,3458.934221
2014-12-1,9625.495,33267.36406,4220.359046,3486.247959
