tm,gyjx,dzdq,nfcp,ysyc,wjyp,ldld,jzx,jsks,kuangjian,gangcai,shiyou,mei
2013/3/1,38.4545,8.7306,27.4578,169.1877,42.2699,1,772.1763,3359.8143,978.6491,1907.7451,1099.3617,14390.6554
2013/4/1,33.8022,2.4571,17.2437,146.5083,40.0297,1,744.4538,3268.3574,1082.7262,1758.7964,992.9735,13017.4471
2013/5/1,31.0621,1.8104,18.5392,128.3273,39.5876,60,719.0356,3321.723,1169.1642,1789.6087,1044.136,13630.3239
2013/6/1,29.3348,1.9042,16.1368,136.5375,38.6307,425,693.197,3020.0284,1161.5281,1687.0007,1067.4778,13229.995
2013/7/1,29.8186,1.6889,13.0336,136.5737,39.1528,1282,695.6944,3263.3229,1272.8749,1727.4933,1070.0459,13507.4777
2013/8/1,30.8787,1.99,14.2964,145.6811,40.3689,1715,730.5801,3362.1678,1306.1306,1784.8232,1087.3476,13781.4836
2013/9/1,34.6865,1.8112,16.122,121.3351,35.9987,3272,749.449,3452.9122,1374.7455,1788.808,1047.303,13919.3998
2013/10/1,35.6035,1.9634,23.0943,114.4666,39.4854,9454,775.6707,3711.788,1486.0438,1839.3171,1096.8055,14557.1441
2013/11/1,37.6801,1.7842,21.1473,121.6252,38.6819,11735,771.3932,3330.5704,1244.7676,1736.4046,1026.4049,14355.6613
2013/12/1,37.0365,1.945,20.0432,154.7292,38.5407,13851,805.9387,3121.6877,1287.7958,1728.944,1072.7646,14887.8272
2014/1/1,38.8907,1.2917,23.4087,124.744,38.539,11688,636.3205,3148.0738,607.8604,1867.1346,1075.2627,15711.1241
2014/2/1,27.9491,0.9825,20.7019,104.8756,31.2842,8878,548.3684,2888.2372,510.0779,1704.6916,1000.1498,12827.6798
2014/3/1,37.1284,1.7444,25.1421,129.4468,38.0771,24041,767.5206,2844.983,1120.7695,1723.3101,1084.7721,14127.9946
2014/4/1,35.4297,2.2002,18.5362,113.0534,34.3962,22819,742.8074,3076.6401,1015.5836,1576.0314,1071.3921,12897.9353
2014/5/1,36.1864,2.0667,17.5154,116.6398,34.3468,10340,790.2177,3097.4606,1233.7092,1671.2523,1078.3965,13643.4634
2014/6/1,33.6344,1.5767,14.2235,108.7716,35.241,8319,755.5866,2851.3181,1151.2766,1599.3715,1064.7437,13263.6207
2014/7/1,31.8146,1.209,12.9168,104.4126,33.6906,14025,778.9021,3051.9477,1179.6698,1583.2039,1067.1882,13410.494
2014/8/1,31.9796,1.6831,9.9043,112.3397,34.4252,56851,842.3794,3254.936,1221.0001,1614.947,1076.8201,13721.1079
2014/9/1,32.9489,0.8041,12.9863,103.256,31.791,84063,820.5016,3163.3308,1062.3144,1545.9828,1069.2203,13337.5094
