tm,adv,coor,delay,adv.input,coor.input,delay.input,hyl,gyzjz,hyzzl,x12hyl,x12gyzjz,x12hyzzl,kyl,kyzzl,gdzctz,x12kyl,x12kyzzl,x12gdzctz,gc,ym,yy,hlfdl,x12gc,x12ym,x12yy,x12hlfdl
2005/11/1,0,0,0,0,0,0,1.803083281,16.97536725,1429.591414,1.018331154,0.978400123,1.020095445,0.979601063,3447.667869,1237094.564,1.017450028,1.16949342,1.220353646,3346.879719,16059.8548,2440.316089,1698.115904,1.025451787,1.019337896,0.999694254,1.018842977
2005/12/1,0,0,0,0,0,0,1.811891497,17.23672695,1437.659316,1.019129851,0.966809009,1.020752491,0.993454148,3485.416228,1322545.583,1.018081635,1.17055648,1.226649706,3416.425943,16270.78264,2449.116954,1715.372805,1.025240584,1.016972536,1.006377565,1.019191533
2006/1/1,0,0,0,0,0,0,1.817278792,17.39001103,1446.029274,1.019283076,0.959055067,1.020788075,1.00879159,3526.115999,1429922.522,1.017924806,1.171958623,1.229830977,3497.833788,16491.53847,2462.773072,1735.361574,1.024738279,1.014998547,1.010477958,1.019577201
2006/2/1,0,0,0,0,0,0,1.821973935,17.45059943,1454.659191,1.018821722,0.955147318,1.020155964,1.024213089,3557.912259,1538320.125,1.017000134,1.173628948,1.22883549,3588.370372,16687.20138,2478.152111,1757.741987,1.024219113,1.013585416,1.010515609,1.020181786
2006/3/1,0,0,0,0,0,0,1.82853785,17.41707057,1462.310672,1.018034242,0.955067886,1.019067847,1.038172874,3581.871184,1635731.565,1.015346685,1.17515169,1.222742016,3675.374991,16829.51256,2489.969979,1783.038394,1.024263331,1.012768625,1.006157798,1.021192601
2006/4/1,0,0,0,0,0,0,1.839928204,17.30339235,1469.482596,1.01714796,0.956972475,1.017658779,1.04864999,3607.423918,1708334.315,1.013482973,1.176081443,1.212307482,3744.547475,16913.24814,2495.440521,1810.546539,1.025335,1.012473315,1.001481268,1.022077451
2006/5/1,0,0,0,0,0,0,1.855633508,17.11481403,1477.647106,1.016179787,0.96042492,1.01605284,1.054849271,3643.804634,1742755.436,1.011881523,1.1761653,1.199005376,3793.947481,16975.83349,2493.799969,1839.802532,1.0276411,1.012625183,0.99825559,1.022852513
2006/6/1,0,0,0,0,0,0,1.874867941,16.86302409,1487.594305,1.015182326,0.965544031,1.01449976,1.056747771,3687.861851,1745773.655,1.010866404,1.175291599,1.185032917,3831.880159,17045.27731,2491.848413,1872.453018,1.031036739,1.013377098,0.999039521,1.023298692
2006/7/1,0,0,0,0,0,0,1.895673839,16.57267293,1499.313993,1.014139574,0.972028396,1.013215194,1.05643937,3720.602163,1735712.611,1.010919925,1.174774942,1.171781564,3868.875028,17172.25748,2496.856185,1909.570986,1.034806444,1.014929708,1.000124129,1.023622935
2006/8/1,0,0,0,0,0,0,1.9180232,16.23840309,1514.970268,1.013070268,0.979242531,1.012403458,1.056086138,3739.794415,1721821.297,1.012069404,1.17321177,1.159540631,3917.348497,17381.04877,2513.437198,1952.236745,1.038185236,1.017107708,1.00416896,1.024219729
2006/9/1,0,0,0,0,0,0,1.941735309,15.79662227,1536.29443,1.012039115,0.986734789,1.012203454,1.056658648,3750.720296,1706134.465,1.014310499,1.171072861,1.150279821,3983.470012,17664.26385,2539.249148,2001.099868,1.040702865,1.01977307,1.010928561,1.025370433
2006/10/1,0,0,0,0,0,0,1.962556113,15.28726654,1561.807447,1.010977731,0.99373242,1.012463177,1.059792321,3753.52015,1687789.105,1.017431583,1.16922394,1.144318864,4068.412756,17950.96453,2569.671667,2050.379188,1.041808669,1.022493128,1.015615869,1.027015694
2006/11/1,0,0,0,0,0,0,1.975834932,14.89893528,1584.89693,1.00988547,0.999979794,1.012964714,1.064498321,3740.789069,1678831.546,1.021003831,1.16858804,1.142870814,4167.659705,18183.85793,2599.327655,2093.506001,1.041225868,1.025050698,1.016098117,1.028992774
2006/12/1,0,0,0,0,0,0,1.980126759,14.76318264,1600.659888,1.008925282,1.00609548,1.013480651,1.0699316,3718.675555,1683641.238,1.024553569,1.170233435,1.145077017,4261.580777,18324.71488,2624.008531,2125.08835,1.038906818,1.02704431,1.011157298,1.030824647
2007/1/1,0,0,0,0,0,0,1.978360909,14.92002487,1608.206897,1.008078643,1.012668003,1.013896501,1.07474905,3706.225798,1689319.917,1.027439348,1.173542986,1.147452179,4339.287141,18386.67288,2644.663359,2147.721954,1.0349001,1.028112248,1.004704148,1.032466888
2007/2/1,0,0,0,0,0,0,1.976456434,15.349838,1610.142388,1.007334224,1.019871727,1.013997971,1.079548902,3725.211932,1712812.509,1.029668463,1.177565951,1.148115002,4404.795327,18427.20713,2662.680131,2166.376033,1.029865102,1.028077177,1.001924812,1.033713929
2007/3/1,0,0,0,0,0,0,1.979578212,15.97421867,1610.574397,1.006750113,1.026685503,1.013679781,1.086254132,3782.249052,1750982.561,1.031287463,1.18116087,1.14735446,4463.987645,18491.49868,2681.37121,2186.968161,1.024060371,1.027013412,1.006251461,1.034189893
2007/4/1,0,0,0,0,0,0,1.988953702,16.64977515,1611.892554,1.00653227,1.031924912,1.013034533,1.096762717,3862.825327,1800112.138,1.03184719,1.183168837,1.147468714,4526.600023,18610.70441,2700.325444,2211.44193,1.018022934,1.025219123,1.010856893,1.033675248
