"tm1","DIx_trans","DIt_trans","DIz_trans"
2008-12-01,0.428464370346232,0,0.919080923260468
2009-01-01,0.678789685243176,0,0.919080923260468
2009-02-01,1,0,0.919080923260468
2009-03-01,1,1,0.919080923260468
2009-04-01,1,1,0.822548200545645
2009-05-01,1,1,0.215948947701824
2009-06-01,1,1,0.215948947701824
2009-07-01,1,1,0.215948947701824
2009-08-01,1,1,0.215948947701824
2009-09-01,1,1,0.319751526713533
2009-10-01,1,1,0.319751526713533
2009-11-01,0.463839023462229,1,0.319751526713533
2009-12-01,0.463839023462229,1,1.02288350227218
2010-01-01,0,1,1.02288350227218
2010-02-01,0.10769660619154,0.659697662206444,1.02288350227218
