tm,adv.input,coor.input,delay.input,gc,ym,yy,hlfdl,hyzzl,hyl,gyzjz,kyl,kyzzl,gdzctz,yylc
2006/8/1,0,0,0,3917.348,17374.0377,2513.437198,1952.236745,1515.958811,1.913,16.238,1.056012676,3740.246851,1719249.301,77299.97104
2006/9/1,0,0,0,3983.47,17661.17024,2539.249148,2001.099868,1537.525266,1.942,15.797,1.056470877,3750.135851,1703598.339,77461.61897
2006/10/1,0,0,0,4068.413,17949.74431,2569.671667,2050.379188,1562.934695,1.968,15.287,1.059547671,3747.99592,1685940.714,77555.99938
2006/11/1,0,0,0,4167.66,18180.4291,2599.327655,2093.506001,1585.660188,1.984,14.899,1.064259202,3726.100853,1677951.697,77555.03356
2006/12/1,0,0,0,4261.581,18315.53795,2624.008531,2125.08835,1600.961071,1.985,14.763,1.069761852,3695.063512,1683677.505,77476.21963
2007/1/1,0,0,0,4339.287,18369.62041,2644.663359,2147.721954,1608.142997,1.978,14.92,1.074702463,3680.022653,1689884.405,77379.94472
2007/2/1,0,0,0,4404.795,18402.44289,2662.680131,2166.376033,1609.940748,1.97,15.35,1.079667304,3704.991363,1712261.018,77331.72507
2007/3/1,0,0,0,4463.988,18459.49514,2681.37121,2186.968161,1610.440724,1.97,15.974,1.086553045,3772.95445,1749815.558,77362.17039
2007/4/1,0,0,0,4526.6,18575.8415,2700.325444,2211.44193,1611.983748,1.984,16.65,1.097316363,3862.506819,1800817.963,77461.85527
2007/5/1,0,0,0,4598.518,18750.62081,2717.169481,2238.866633,1614.465987,2.004,17.256,1.111671495,3943.232714,1868438.523,77612.52519
2007/6/1,0,0,0,4676.709,18956.17411,2728.824522,2267.213575,1619.030751,2.025,17.721,1.127441732,4001.39742,1937274.603,77790.31657
2007/7/1,0,0,0,4758.983,19161.84047,2735.297031,2291.949962,1627.563749,2.038,18.023,1.143536874,4039.603025,1994469.64,77993.04593
2007/8/1,0,0,0,4839.61,19342.59742,2739.928627,2312.532876,1639.820498,2.046,18.202,1.157188278,4061.374972,2036993.842,78229.34962
2007/9/1,0,0,0,4906.275,19528.53365,2749.767609,2328.275464,1652.883232,2.055,18.265,1.166292789,4074.203799,2061538.243,78487.04186
2007/10/1,0,0,0,4948.51,19754.58886,2768.997079,2340.16981,1665.351481,2.068,18.185,1.171982124,4084.115678,2071391.119,78716.64237
2007/11/1,0,0,0,4964.245,20035.79589,2796.717414,2352.165671,1678.381186,2.088,17.92,1.177341705,4090.938776,2071698.443,78865.8246
2007/12/1,0,0,0,4968.534,20355.2011,2826.539104,2368.747616,1692.272529,2.11,17.511,1.182660263,4104.970923,2084994.217,78909.84944
2008/1/1,0,0,0,4974.893,20717.4765,2851.463068,2385.071014,1705.960444,2.13,17.033,1.187971048,4140.826457,2122434.438,78883.20373
2008/2/1,0,0,0,4988.492,21089.47414,2867.101364,2401.631208,1718.247013,2.143,16.578,1.194162174,4197.079462,2185124.305,78861.69557
2008/3/1,0,0,0,5010.138,21409.95967,2875.279205,2416.375714,1730.163393,2.147,16.213,1.199112454,4260.054479,2288080.658,78911.402
2008/4/1,0,0,0,5023.148,21671.04088,2880.110485,2424.773473,1743.0144,2.147,15.923,1.204199197,4315.744239,2455513.92,79049.12126
2008/5/1,0,0,0,5004.497,21861.53072,2885.460224,2424.830859,1756.399003,2.148,15.528,1.209615428,4353.227144,2694236.666,79248.40558
2008/6/1,0,0,0,4945.275,21990.74308,2889.145525,2410.223775,1765.820825,2.147,14.857,1.215716154,4369.273148,2993708.911,79481.37646
2008/7/1,0,0,0,4851.144,22014.20833,2886.235387,2375.672207,1764.339303,2.147,13.85,1.220832063,4372.625873,3301538.425,79725.62318
2008/8/1,0,0,0,4738.081,21907.82234,2872.620832,2322.874801,1746.810506,2.143,12.562,1.225518939,4370.746617,3582335.07,79980.51175
