tm,iron_output,oil_processing_volume,coal_output,coalfired_power_generation,industrial_added_value,Industrial_Added_Value_Rate,Investment_in_Fixed_Assets
2013/9/1,9186.907,30834.664,4004.291,3615.934,10.316,10.2,5658106.566
2013/10/1,9268.479,31624.913,3994.325,3628.145,10.055,10.3,5686014.098
2013/11/1,9275.442,32354.901,3985.661,3618.546,9.607,10,5729057.687
2013/12/1,9217.173,32756.921,3987.165,3593.441,9.1,9.7,5771444.06
2014/1/1,9135.324,32668.866,4003.953,3567.39,8.711,9,5273085.492
2014/2/1,9075.647,32108.926,4032.921,3549.791,8.6,8.6,5194969.784
2014/3/1,9061.473,31282.522,4065.559,3535.876,8.72,8.7,5200561.071
2014/4/1,9096.086,30401.777,4098.848,3517.843,8.924,8.7,5376402.691
2014/5/1,9165.488,29684.931,4134.547,3493.523,9.07,8.7,5796422.199
2014/6/1,9246.57,29280.382,4168.407,3461.214,9.02,8.8,6363158.899
2014/7/1,9320.805,29322.926,4197.023,3431.76,8.735,8.8,6891214.958
2014/8/1,9380.239,29762.269,4217.436,3416.179,8.316,8.5,7252444.497
2014/9/1,9437.18,30489.889,4228.908,3417.39,7.907,8.5,7404663.545
2014/10/1,9499.039,31376.601,4231.731,3433.356,7.569,8.4,7378735.499
2014/11/1,9561.837,32333.172,4228.12,3458.934,7.304,8.3,7263315.021
2014/12/1,9625.495,33267.364,4220.359,3486.248,7.115,8.3,7044681.292
